headline,description,date
‘With­out work and hope’: Beth­le­hem’s Christ­mas econ­o­my bleeds from Gaza war,The West Bank city los­es Christ­mas tourism amid dai­ly Is­raeli raids and the con­tin­u­ing as­sault on the Gaza Strip.,22-12-2023
"Is­rael’s war on Gaza: List of key events, day 77","Houthi at­tacks are dis­cour­ag­ing ship­ping through the Red Sea, as Gaza’s health sys­tem col­laps­es.",22-12-2023
"Pho­tos: Gaza at ‘risk of famine’ as fight­ing rages be­tween Is­rael, Hamas","New re­port says at least 576,600 peo­ple have ex­haust­ed food sup­plies and face cat­a­stroph­ic hunger and star­va­tion.",22-12-2023
"A Biden-Ne­tanyahu rift? ‘Dis­trac­tion’, Pales­tin­ian rights ad­vo­cates say",Pales­tin­ian rights sup­port­ers dis­miss re­ports of US-Is­rael dis­agree­ments as Biden main­tains staunch back­ing of Gaza war.,22-12-2023
Is­rael-Hamas war up­dates: Se­cu­ri­ty Coun­cil pass­es ‘di­lut­ed’ Gaza res­o­lu­tion,"Af­ter mul­ti­ple de­lays, the coun­cil vot­ed in favour a res­o­lu­tion with soft­er lan­guage on end­ing the fight­ing in Gaza.",22-12-2023
"En­tire Gaza pop­u­la­tion fac­ing hunger cri­sis, famine risk: UN-backed re­port","The pro­por­tion of house­holds af­fect­ed by acute food in­se­cu­ri­ty is largest ever record­ed glob­al­ly, the re­port says.",21-12-2023
UN Hu­man Rights Of­fice calls for in­ves­ti­ga­tion into un­law­ful Gaza killings,UN Hu­man Rights Of­fice calls for probe into ‘pos­si­ble war crime’ amid al­le­ga­tions Is­raeli forces ‘ex­e­cut­ed’ Pales­tini­ans,21-12-2023
Could Is­rael’s war on Gaza cause a wider con­flict?,Re­gion­al ten­sions are ris­ing over the US-backed war.,21-12-2023
"Is­rael’s war on Gaza dead­liest in mod­ern his­to­ry for jour­nal­ists, CPJ says",Com­mit­tee to Pro­tect Jour­nal­ists says con­cen­tra­tion of re­porters killed in Gaza ‘un­par­al­leled’ in the group’s his­to­ry.,21-12-2023
Analy­sis: Why is Is­rael’s mil­i­tary killing so many of its own?,"The per­ils of ur­ban war­fare, cou­pled with op­er­a­tional is­sues with­in the army, ap­pear to be hob­bling Is­rael’s ad­vance.",21-12-2023
"No func­tion­al hos­pi­tal left in north­ern Gaza, WHO says",The UN agency de­scribes the sit­u­a­tion as ‘be­yond cat­a­stroph­ic’ with pa­tients beg­ging for food and wa­ter.,21-12-2023
It is time the labour move­ment takes a stand for Pales­tine,Unions can’t claim they care for hu­man rights if they stay silent on Is­rael’s eth­nic cleans­ing cam­paign in Gaza.,21-12-2023
Why is the UNSC vote on Gaza get­ting de­layed re­peat­ed­ly?,In­tense ne­go­ti­a­tions have dragged on to en­sure the US does not veto the UAE-led hu­man­i­tar­i­an res­o­lu­tion.,21-12-2023
Is­raeli forces tar­get Pales­tin­ian para­medics,Is­rael’s army is pre­vent­ing Pales­tin­ian medics from trans­port­ing the wound­ed in Jenin in the oc­cu­pied West Bank,21-12-2023
Lebanon and the War on Jour­nal­ists,“Jour­nal­ists’ voic­es shouldn’t be tamed.”,21-12-2023
Is­raeli at­tack kills Pales­tin­ian bor­der cross­ing chief: Gaza of­fi­cials,"Bassem Ghaben, di­rec­tor of Is­raeli-con­trolled Karem Abu Salem cross­ing, was work­ing to bring hu­man­i­tar­i­an aid into Gaza.",21-12-2023
Greece to join US-led coali­tion to pro­tect Red Sea ship­ping from Houthis,The mar­itime al­liance wants to counter threats the Yemeni rebel group says are a re­sponse to Is­raeli ‘crimes’ in Gaza.,21-12-2023
UN calls for probe as Is­raeli army ac­cused of killing un­armed Pales­tini­ans,UN rights of­fice says ‘pos­si­ble war crime’ amid re­ports Is­raeli forces al­leged­ly ‘ex­e­cut­ed’ 11 Pales­tin­ian men in Gaza.,21-12-2023
The anato­my of Zion­ist geno­cide,"What are the mo­ti­va­tions be­hind Is­rael’s geno­ci­dal acts in Gaza, and what is the way for­ward?",21-12-2023
"UNSC strug­gles with Gaza truce vote de­lays, Is­rael or­ders mass evac­u­a­tions","Pales­tini­ans await long-de­layed UN Se­cu­ri­ty Coun­cil vote on aid de­liv­ery as death toll in be­sieged Gaza ex­ceeds 20,000.",21-12-2023
Aus­tralian pro­test­ers on kayaks con­front Is­rael-linked ship,"Pro-Pales­tin­ian pro­test­ers on kayaks are try­ing to block an Is­rael-linked car­go ship in Mel­bourne, Aus­tralia.",21-12-2023
‘Seen as less hu­man’: Why has Is­lam­o­pho­bia surged amid Is­rael’s Gaza war?,Hate crimes and com­plaints are at record lev­els. Al Jazeera speaks to Pro­fes­sor John Es­pos­i­to to bet­ter un­der­stand why.,21-12-2023
"Is­rael’s war on Gaza: List of key events, day 76","Gaza’s death toll has crossed 20,000 while new evac­u­a­tion or­ders have been an­nounced for Khan You­nis.",21-12-2023
"Meta ‘sti­fling’ pro-Pales­tine voic­es on so­cial me­dia, rights group says","‘Cen­sor­ship’ of hun­dreds of posts on Face­book, In­sta­gram dur­ing Gaza war fur­thers ‘era­sure of Pales­tini­ans’ suf­fer­ing’.",21-12-2023
Pho­tos: Is­rael con­tin­ues dead­ly Gaza strikes amid hopes for an­oth­er truce,"More than 20,000 Pales­tini­ans have been killed in Is­raeli at­tacks on Gaza since Oc­to­ber 7.",21-12-2023
Is­rael-Hamas war up­dates: Hunger in Gaza ‘high­est ever record­ed’ – Re­port,The In­te­grat­ed Food Se­cu­ri­ty Phase Clas­si­fi­ca­tion says hunger lev­els in Gaza are the high­est ever record­ed.,21-12-2023
Is­raeli strikes hit south­ern Gaza dur­ing live Al Jazeera re­port,Al Jazeera cor­re­spon­dent Hani Mah­moud was re­port­ing live on TV when Is­rael bombed the build­ings be­hind him.,20-12-2023
"Gaza death toll sur­pass­es 20,000 as UN Se­cu­ri­ty Coun­cil de­lays vote on aid",The grim mile­stone comes as the UN’s top de­ci­sion-mak­ing body post­pones a key vote on Gaza aid for the third time.,20-12-2023
Why the war on Gaza is not mak­ing Is­rael safer,Po­lit­i­cal sci­en­tist Ian Brem­mer says the hu­man car­nage of Is­rael’s war on Gaza is strength­en­ing Hamas.,20-12-2023
Near­ly 66 per­cent of jobs lost in Gaza since Is­rael-Hamas war broke out,"UN labour agency, Pales­tin­ian bu­reau note ma­jor spillover ef­fect in oc­cu­pied West Bank with one-third jobs wiped out.",20-12-2023
Are Houthi Red Sea at­tacks hurt­ing Is­rael and dis­rupt­ing glob­al trade?,The Houthis at­tack ships in one of the busiest mar­itime routes as they de­mand Is­rael to end its bru­tal war in Gaza.,20-12-2023
Hamas chief in Cairo as mo­men­tum builds to­wards new cease­fire talks,"Is­mail Haniyeh’s trip comes as Is­rael sig­nals pos­si­bil­i­ty of an­oth­er truce, al­though key stick­ing points re­main.",20-12-2023
‘Bare­ly a drop’: UN warns wa­ter short­ages a dead­ly risk for Gaza chil­dren,"Wa­ter and san­i­ta­tion ser­vices are at the point of col­lapse with large-scale dis­ease out­breaks loom­ing, UNICEF warns.",20-12-2023
Pales­tin­ian stat­ues torn down by Is­raeli forces,Is­raeli forces are de­stroy­ing stat­ues and mon­u­ments of Pales­tin­ian re­sis­tance dur­ing raids in the oc­cu­pied West Bank.,20-12-2023
Malaysia bans Is­rael-flagged ships from its ports in re­sponse to Gaza war,PM says Is­rael’s ac­tions ‘vi­o­late in­ter­na­tion­al law through the on­go­ing mas­sacre and bru­tal­i­ty against Pales­tini­ans’.,20-12-2023
‘Fed up with war’: Yeme­nis fear new con­flict af­ter Houthi Red Sea at­tacks,Many Yeme­nis wor­ry that the Houthi at­tacks on Red Sea ves­sels will spark a new war for their em­bat­tled na­tion.,20-12-2023
"Is­rael’s war on Gaza: List of key events, day 75",A UNSC cease­fire vote is de­layed again as the UN warns of more deaths due to wa­ter short­ages – here are ma­jor up­dates.,20-12-2023
"‘No safe place’: Jenin’s Free­dom The­atre raid­ed, daubed with Star of David","Land­mark that pro­vid­ed heal­ing for trau­ma­tised chil­dren in the West Bank has been ran­sacked, di­rec­tors ar­rest­ed.",20-12-2023
Is­rael bombs char­i­ty build­ing in Gaza’s Ja­balia refugee camp,This is the af­ter­math of an Is­raeli air strike on a char­i­ty build­ing in north­ern Gaza’s Ja­balia refugee camp,20-12-2023
Women and chil­dren among dead in Is­raeli at­tacks in south Gaza,"Dozens of peo­ple in­clud­ing women, chil­dren and a jour­nal­ist have been re­port­ed killed in Is­raeli at­tacks in Rafah",20-12-2023
"Is­rael-Hamas war up­dates: Death toll in Gaza hits 20,000 as fight­ing rages",Fight­ing con­tin­ues to rage around the Strip as a res­o­lu­tion con­tin­ues to be held up at the UN Se­cu­ri­ty Coun­cil.,20-12-2023
Yemen’s Houthis say mar­itime coali­tion force will not stop fu­ture at­tacks,"Yemen’s Houthis will not cease at­tacks on ships in the Red Sea, de­spite the US an­nounc­ing a mar­itime pro­tec­tion force",19-12-2023
Pho­tos: Dozens killed in air strikes as Is­rael in­ten­si­fies as­sault on Gaza,At least 29 peo­ple killed in at­tacks on a res­i­den­tial area in Rafah in south­ern Gaza and 13 at refugee camp in north.,19-12-2023
Is­rael open to new tem­po­rary truce in Gaza to free re­main­ing cap­tives,Hamas says it will not en­ter ne­go­ta­tions over re­leas­ing cap­tives un­til Is­rael ends its war on Gaza.,19-12-2023
‘We have a duty’: US doc­tor says cease­fire an ‘eth­i­cal im­per­a­tive’ in Gaza,"Doc­tors con­tin­ue to weigh calls for cease­fire in Gaza, with some some say­ing do­ing so is a pro­fes­sion­al re­spon­si­bil­i­ty.",19-12-2023
Can the US-led mar­itime force stop Yemen’s Houthi at­tacks dur­ing Gaza war?,Houthis say at­tacks won’t stop un­less Is­rael’s do. Ship­ping in­dus­try doesn’t ap­pear con­vinced task force can halt them.,19-12-2023
Yemen’s Houthis ‘will not stop’ Red Sea at­tacks un­til Is­rael ends Gaza war,US launch­es mar­itime coali­tion to counter at­tacks the rebel group says are a re­sponse to Is­raeli ‘crimes’ in Gaza Strip.,19-12-2023
Is­raeli at­tack on res­i­den­tial area in south Gaza kills at least 29 peo­ple,"Three build­ings de­stroyed in the at­tack in Rafah, and sep­a­rate strike in Ja­balia refugee camp kills at least 13 peo­ple.",19-12-2023
Is­raeli real es­tate firm push­es set­tle­ment build­ing in Gaza,An Is­raeli real es­tate firm is push­ing to build set­tle­ments for Is­raelis in Gaza.,19-12-2023
UN Se­cu­ri­ty Coun­cil in in­tense ne­go­ti­a­tions on Gaza hu­man­i­tar­i­an res­o­lu­tion,Diplo­mats say draft text may be wa­tered down from ‘last­ing ces­sa­tion’ to ‘sus­pen­sion’ of hos­til­i­ties to ap­pease US.,19-12-2023
"My friend Al-Has­san, a Liv­er­pool fan who dreamed big, killed in Gaza","Al-Has­san Mat­tar, 21, was at home in Deir el-Bal­ah when an Is­raeli air raid struck last week.",19-12-2023
"Is­rael’s war on Gaza: List of key events, day 74",A new se­cu­ri­ty force in the Red Sea an­nounced amid new round of cease­fire vot­ing at the UNSC – here are ma­jor up­dates.,19-12-2023
US an­nounces 10-na­tion force to counter Houthi at­tacks in Red Sea,"US De­fense Sec­re­tary Lloyd Austin says coali­tion will in­clude Bahrain, Cana­da, France, Italy, UK and oth­er coun­tries.",19-12-2023
Is­rael-Hamas war up­dates: US holds up UN vote on Gaza truce,"These were the Is­rael-Hamas war up­dates for Tues­day, De­cem­ber 19.",19-12-2023
Hamas video shows el­der­ly Is­raeli cap­tives plead­ing for re­lease,"The Qas­sam Brigades re­leas­es the one-minute video, ti­tled Don’t Let Us Grow Old Here, on its Telegram ac­count.",18-12-2023
Is the US com­plic­it in the dire hu­man­i­tar­i­an cri­sis in Gaza?,"As Is­rael con­tin­ues its as­sault on Gaza, there is grow­ing con­cern over hu­man­i­tar­i­an con­di­tions in the be­sieged en­clave.",18-12-2023
Austin says US sup­port for Is­rael un­shake­able as Gaza cease­fire calls grow,"Lloyd Austin says US sup­port ‘un­shake­able’, urges Is­rael to do more to pro­tect civil­ians and in­crease aid sup­plies.",18-12-2023
Is­rael ac­cused of us­ing star­va­tion as a weapon of war in Gaza,Hu­man Rights Watch has ac­cused Is­rael of us­ing star­va­tion as a weapon of war.,18-12-2023
Cap­tives mis­tak­en­ly killed by Is­raeli troops left SOS signs in He­brew,The killing of the three men sparks in­tense out­cry in Is­rael and rais­es con­cerns about its mil­i­tary’s wartime con­duct.,18-12-2023
Yemen’s Houthis say they at­tacked two more ves­sels in the Red Sea,Own­er of Swan At­lantic says uniden­ti­fied ob­ject strikes ship but none of crew hurt. Pana­ma-flagged ves­sel also tar­get­ed.,18-12-2023
Peo­ple ‘buried alive’ out­side Gaza hos­pi­tal dur­ing Is­raeli raid,Is­raeli forces are ac­cused of us­ing bull­doz­ers to crush and bury Pales­tini­ans alive as they raid­ed Ka­mal Ad­wan Hos­pi­tal.,18-12-2023
Is­rael ac­cused of wield­ing star­va­tion as a weapon of war against Gaza,Hu­man Rights Watch urges world to speak out against ‘ab­hor­rent war crime’. Is­rael brands the NGO ‘anti-Se­mit­ic’.,18-12-2023
‘Blood­bath’: Is­rael con­tin­ues to tar­get Gaza hos­pi­tals and civil­ians,No let up in Is­rael’s on­slaught de­spite mount­ing calls for a truce and aid de­liv­er­ies.,18-12-2023
Pho­tos: Vol­un­teers aid Pales­tin­ian cit­i­zens of Is­rael har­vest amid Gaza war,"Since the war be­gan, Is­rael has sus­pend­ed work per­mits for about 130,000 day work­ers from the oc­cu­pied West Bank.",18-12-2023
"Is­rael’s war on Gaza: List of key events, day 73",Ef­forts to com­bat Houthi at­tacks and de-es­ca­late the Gaza war are un­der way – here’s the lat­est up­dates.,18-12-2023
Pho­tos: Is­raeli at­tacks con­tin­ue as calls for a cease­fire in Gaza grow,"At least 90 peo­ple, in­clud­ing women and chil­dren, were killed in Is­raeli at­tacks on Ja­balia refugee camp.",18-12-2023
Hamas is now re­cruit­ing in Lebanon. What will that mean for Hezbol­lah?,Main­stream Lebanese politi­cians have crit­i­cised the Hamas move. But it will like­ly help Hezbol­lah.,18-12-2023
Is­rael-Hamas war up­dates: Hamas ‘open to any ini­tia­tive’ on pris­on­er swap,"These were the Is­rael-Hamas war up­dates for Mon­day, De­cem­ber 18.",18-12-2023
At least 90 killed in lat­est Is­raeli at­tacks on Gaza’s Ja­balia refugee camp,The first re­spon­ders and lo­cals are search­ing for the wound­ed as more bod­ies are be­lieved to be un­der the rub­ble.,17-12-2023
Will Is­rael reach a deal on cap­tives with Hamas?,Ne­tanyahu in­sists war on Gaza will con­tin­ue – de­spite grow­ing anger over the Is­raeli army’s killing of three cap­tives.,17-12-2023
Starv­ing Pales­tini­ans scram­ble for aid as des­per­a­tion mounts in Gaza,"Not enough aid is flow­ing into the strip, forc­ing the Pales­tini­ans into a ‘sur­vival mode’ amid heavy Is­raeli at­tacks.",17-12-2023
Out­rage af­ter Is­raeli forces kill Is­raeli cap­tives in Gaza,Thou­sands have protest­ed in Tel Aviv af­ter Is­raeli forces killed three Is­raeli cap­tives wav­ing white flags in Gaza.,17-12-2023
Pho­tos: West Bank refugee camp reels from dead­ly Is­raeli raids,"Is­rael raids Nur Shams refugee camp in the oc­cu­pied West Bank’s Tulka­rem, killing at least five Pales­tini­ans.",17-12-2023
"France calls for Gaza truce, con­demns killing of work­er in Is­raeli at­tack",The killing comes as French top diplo­mat Cather­ine Colon­na in Is­rael to ap­peal for truce and last­ing peace.,17-12-2023
Is­raeli army kills five Pales­tini­ans as it in­ten­si­fies raids in West Bank,Is­raeli forces re­port­ed­ly pre­vent­ed am­bu­lances from reach­ing the camp and held one para­medic as it in­ten­si­fies raids.,17-12-2023
"Is­rael’s war on Gaza: List of key events, day 72",Is­rael and Hamas have restart­ed talks through Qatari me­di­a­tion as at­tacks on Gaza con­tin­ue – here are the ma­jor up­dates.,17-12-2023
Is­rael army kills 2 Chris­t­ian women in ‘cold blood’ at Gaza church com­pound,A Chris­t­ian woman and her daugh­ter shot dead in Gaza’s Holy Fam­i­ly Church by an Is­raeli sol­dier.,17-12-2023
PA seeks probe af­ter Is­raeli ‘bull­doz­ers crush pa­tients’ at Gaza hos­pi­tal,Is­raeli forces ac­cused of crush­ing Pales­tini­ans us­ing bull­doz­ers in the court­yard of Gaza’s Ka­mal Ad­wan Hos­pi­tal.,17-12-2023
Analy­sis: Why Is­rael will con­tin­ue its dead­ly push into Gaza city cen­tres,"A long, grind­ing ur­ban war ap­pears like­ly now, if Is­rael is to negate the ef­fects of Hamas tun­nels.",17-12-2023
‘Com­plete hor­ror scene’: WHO vis­its al-Shi­fa Hos­pi­tal af­ter Is­raeli att­tack,"Wound­ed Pales­tini­ans left to bleed on the floor with­out med­i­cine or surgery, says WHO team af­ter vis­it.",17-12-2023
Is­rael’s Ne­tanyahu hints new deal un­der way to re­lease Gaza hostages,The Is­raeli leader’s com­ments came af­ter Qatar con­firmed talks are on for a pos­si­ble new truce.,16-12-2023
Al Jazeera to re­fer jour­nal­ist Samer Abu­daqa’s killing to ICC,Al Jazeera Ara­bic cam­era­man was killed by drone at­tack while re­port­ing on bomb­ing of a school in south­ern Gaza Strip.,16-12-2023
"US, UK say they shot down 15 drones from Yemen’s Houthis over Red Sea",Threat to trade has grown in the re­gion as con­tain­er ships and oil tankers have been at­tacked or drawn mis­sile fire.,16-12-2023
Is Is­rael de­lib­er­ate­ly tar­get­ing jour­nal­ists in Gaza?,The war on Gaza has been the dead­liest for me­dia work­ers ever record­ed.,16-12-2023
Two young Pales­tini­ans shot dead by Is­raeli forces in West Bank,Is­raeli ag­gres­sion in the oc­cu­pied West Bank has ramped up since Is­rael’s bom­bard­ment of Gaza be­gan on Oc­to­ber 7.,16-12-2023
Is­rael is tak­ing scorched earth pol­i­cy to a new lev­el,Gaza isn’t the first vic­tim of Is­raeli-in­flict­ed mass dev­as­ta­tion. But it’s the first to see it on this shock­ing scale.,16-12-2023
"Is­raeli cap­tives mis­tak­en­ly killed in Gaza held white flag, of­fi­cial says","Rules of en­gage­ment breached in in­ci­dent that re­sult­ed in death of three hostages, all in their 20s.",16-12-2023
Pho­tos: Al Jazeera jour­nal­ist Samer Abu­daqa laid to rest,Fam­i­ly mem­bers and col­leagues mourned and paid their re­spects to the cam­era­man killed in an Is­raeli drone at­tack.,16-12-2023
John Mearsheimer: Is­rael is choos­ing ‘apartheid’ or ‘eth­nic cleans­ing’,US po­lit­i­cal sci­en­tist John Mearsheimer on Is­rael’s ‘pun­ish­ment cam­paign’ against the civil­ian pop­u­la­tion in Pales­tine.,16-12-2023
‘No place for geno­cide’: Qatar foot­ball fans stand for Gaza against Is­rael,"Thou­sands of foot­ball fans gath­er to help raise funds and show sol­i­dar­i­ty with the peo­ple of Gaza, amid Is­rael’s war.",16-12-2023
Is­rael keeps the pres­sure on Gaza as Qatar con­firms truce talks,"At­tacks on Sat­ur­day heav­i­ly tar­get­ed Khan You­nis in the south, where thou­sands have been forced to flee.",16-12-2023
Al Jazeera jour­nal­ist Samer Abu­daqa laid to rest in south­ern Gaza,"Fam­i­ly, friends, col­leagues at­tend fu­ner­al of cam­era­man who was killed in Is­raeli drone at­tack in Khan You­nis.",16-12-2023
Mo­ment Is­raeli po­lice at­tack jour­nal­ist in East Jerusalem,"This is the mo­ment Is­raeli po­lice at­tacked an Anadolu Agency jour­nal­ist in Oc­cu­pied East Jerusalem, hos­pi­tal­is­ing him.",16-12-2023
"Iran-aligned Houthis warn Is­rael, US against at­tack­ing Yemen","Threat comes as Is­rael, West­ern al­lies bol­ster pres­ence in Red Sea as rebels tar­get ship­ping.",16-12-2023
Trau­ma and ter­ror: What we are see­ing from Gaza,"Two months of war have pro­duced many grim im­ages from Gaza. Plus, the screws are tight­en­ing on Pales­tin­ian Is­raelis.",16-12-2023
"Three broth­ers in the West Bank, kept apart by Is­rael’s war",Three broth­ers swap sto­ries of life un­der mil­i­tary oc­cu­pa­tion in three dif­fer­ent parts of the West Bank.,16-12-2023
"Is­rael-Hamas war: List of key events, day 71",In­ter­na­tion­al calls for ac­count­abil­i­ty grow af­ter Is­raeli at­tack kills Al Jazeera jour­nal­ist Samer Abu­daqa.,16-12-2023
"More than 8,000 peo­ple miss­ing in the rub­ble in Gaza: Hamas","About 70% of the dead and miss­ing are women and chil­dren, their bod­ies trapped in the vast de­struc­tion, says Hamas.",16-12-2023
Is­raeli air at­tack on res­i­den­tial home in Rafah kills four Pales­tini­ans,"Dozens of Pales­tini­ans were wound­ed, and 15 oth­ers were miss­ing af­ter the strike in Rafah gov­er­norate.",15-12-2023
Is­raeli army says it mis­tak­en­ly killed three cap­tives held in Gaza,The cap­tives were killed dur­ing com­bat with Pales­tin­ian fight­ers af­ter they were er­ro­neous­ly iden­ti­fied as a threat.,15-12-2023
"Is­raeli strike kills Al Jazeera cam­era­man, in­jures Gaza bu­reau chief","Al Jazeera jour­nal­ist Samer Abu­daqa has been killed, Gaza Bu­reau Chief Wael al-Dah­douh was in­jured by Is­raeli mis­siles",15-12-2023
Al Jazeera con­demns Is­raeli forces killing of cam­era­man Samer Abu­daqa,Me­dia net­work says it holds Is­rael ac­count­able for sys­tem­at­i­cal­ly tar­get­ing and killing jour­nal­ists and their fam­i­lies.,15-12-2023
‘A won­der­ful hu­man’: Al Jazeera col­leagues re­mem­ber Samer Abu­daqa,Al Jazeera Ara­bic cam­era­man was killed in an Is­raeli at­tack in Khan You­nis in south­ern Gaza.,15-12-2023
Boy­cotts and protests – how are peo­ple around the world de­fy­ing Is­rael?,Al Jazeera takes a look at the move­ments against Is­rael and il­le­gal set­tle­ments in Pales­tine.,15-12-2023
Is­rael to re­open Karem Abu Salem to al­low hu­man­i­tar­i­an aid into Gaza,An­nounce­ment comes as na­tion­al se­cu­ri­ty spokesman Jake Sul­li­van vis­its the re­gion amid grow­ing in­ter­na­tion­al iso­la­tion.,15-12-2023
"Watch­ing the watch­dogs: Me­dia, law and Gaza geno­cide",What is be­hind the Amer­i­can me­dia’s avoid­ance of the grow­ing al­le­ga­tions of geno­cide di­rect­ed at Is­rael?,15-12-2023
Al Jazeera jour­nal­ist Samer Abu­daqa killed in Is­raeli at­tack in Gaza,Al Jazeera Ara­bic cam­era­man killed and col­league wound­ed in an Is­raeli at­tack in Khan You­nis.,15-12-2023
This is what 24 hours of our lives in Gaza look like | Close Up,We asked 10 peo­ple in Gaza to record mo­ments of their day. The re­sult is in­spir­ing and heart­break­ing.,15-12-2023
Is­rael-Gaza: Does Is­lam­o­pho­bia play a part in US for­eign pol­i­cy?,Marc La­m­ont Hill speaks with schol­ars of Is­lam­o­pho­bia and anti-Semi­tism.,15-12-2023
‘War is stu­pid and I want it to end’: In­jured Pales­tin­ian chil­dren speak,"Is­rael’s re­lent­less bom­bard­ment of Gaza has killed or in­jured about 28,000 Pales­tin­ian chil­dren in the past two months.",15-12-2023
Is­rael con­tin­ues Gaza on­slaught de­spite US en­voy’s ‘new phase of war’,US Na­tion­al Se­cu­ri­ty Ad­vis­er Jake Sul­li­van to meet Pales­tine’s Mah­mud Ab­bas af­ter talks with Is­raeli of­fi­cials.,15-12-2023
The Take: What do Is­raelis think of the war on Gaza?,"For the Is­raelis who op­pose the war on Gaza, the con­se­quences are steep.",15-12-2023
Ship­ping com­pa­nies pause Red Sea jour­neys af­ter Houthi at­tacks,Maer­sk and Ha­pag-Lloyd halt jouneys in Red Sea af­ter Yemen’s Houthi rebels at­tack more ships in busy wa­ter­way.,15-12-2023
Den­mark step­ping up ter­ror probe amid sus­pi­cion of Hamas links,Ar­rests in Den­mark co­in­cide with de­ten­tions in the Nether­lands and Ger­many al­leged­ly linked to Hamas.,15-12-2023
Is­rael-Gaza war: Is the US ad­min­is­tra­tion di­vorced from re­al­i­ty?,Hanan Ashrawi talks to Marc La­m­ont Hill about the sit­u­a­tion in the oc­cu­pied Pales­tin­ian ter­ri­to­ries and the US po­si­tion.,15-12-2023
Dutch court dis­miss­es war crimes case against mil­i­tary sup­plies to Is­rael,Rights groups said the ex­port­ing of F-35 jet parts to Is­rael from the Nether­lands makes it com­plic­it in Gaza war crimes.,15-12-2023
"UN Hu­man­i­tar­i­an Chief: ‘Gaza is spe­cial, not in a good way’",Mar­tin Grif­fiths on Gaza’s dire con­di­tions for aid op­er­a­tions and the voic­es that should be heard on Pales­tine’s fu­ture.,15-12-2023
Video said to show Pales­tin­ian de­tainees be­ing pa­rad­ed,Video shared on so­cial me­dia ap­pears to show blind­fold­ed Pales­tin­ian de­tainees be­ing pa­rad­ed by Is­raeli sol­diers.,15-12-2023
